Codigo;Municipios
05002;Abejorral
05004;Abriaquí
05021;Alejandría
05030;Amagá
05031;Amalfi
05034;Andes
05036;Angelópolis
05038;Angostura
05040;Anorí
05044;Anza
05045;Apartadó
05051;Arboletes
05055;Argelia
05059;Armenia
05079;Barbosa
05088;Bello
05086;Belmira
05091;Betania
05093;Betulia
05107;Briceño
05113;Buriticá
05120;Cáceres
05125;Caicedo
05129;Caldas
05134;Campamento
05138;Cañasgordas
05142;Caracolí
05145;Caramanta
05147;Carepa
05150;Carolina del Príncipe
05154;Caucasia
05172;Chigorodo
05190;Cisneros
05101;Ciudad Bolivar
05197;Cocorná
05206;Concepción
05209;Concordia
05212;Copacabana
05234;Dabeiba
05237;Don Matías
05240;Ebéjico
05250;El Bagre
05148;El Carmen de V.
05541;El Peñol
05607;El Retiro
05697;El Santuario
05264;Entrerrios
05266;Envigado
05282;Fredonia
05284;Frontino
05306;Giraldo
05308;Girardota
05310;Gómez Plata
05313;Granada
05315;Guadalupe
05318;Guarne
05321;Guatape
05347;Heliconia
05353;Hispania
05360;Itagüí
05361;Ituango
05364;Jardín
05368;Jerico
05376;La Ceja del Tambo
05380;La Estrella
05390;La Pintada
05400;La Unión
05411;Liborina
05425;Maceo
05440;Marinilla
05001;Medellín
05467;Montebello
05475;Murindó
05480;Mutatá
05483;Nariño
05495;Nechí
05490;Necoclí
05501;Olaya
05543;Peque
05576;Pueblo Rico
05579;Puerto Berrio
05585;Puerto Nare
05591;Puerto Triunfo
05604;Remedios
05615;Rionegro
05628;Sabanalarga
05631;Sabaneta
05642;Salgar
05647;San Andrés de C.
05649;San Carlos
05652;San Francisco
05656;San Jerónimo
05658;San José de la Montaña
05659;San Juan de Urabá
05660;San Luis
05664;San Pedro de los M.
05665;San Pedro de Urabá
05667;San Rafael
05670;San Roque
05674;San Vicente
05679;Santa Bárbara
05042;Santa Fe de Ant.
05686;Santa Rosa de O.
05690;Santo Domingo
05736;Segovia
05756;Sonsón
05761;Sopetrán
05789;Támesis
05790;Tarazá
05792;Tarso
05809;Titiribí
05819;Toledo
05837;Turbo
05842;Uramita
05847;Urrao
05854;Valdivia
05856;Valparaíso
05858;Vegachi
05861;Venecia
05873;Vigía del Fuerte
05885;Yali
05887;Yarumal
05890;Yolombó
05893;Yondó
05895;Zaragoza
